iter	MultiClass
0	1.373538308
1	1.367110166
2	1.345967269
3	1.33464698
4	1.322507939
5	1.310436166
6	1.30138474
7	1.293185944
8	1.286551033
9	1.281175501
10	1.272412614
11	1.260983415
12	1.254201856
13	1.249234918
14	1.240449388
15	1.229289509
16	1.223241595
17	1.212493411
18	1.204996584
19	1.195738074
20	1.187524066
21	1.177310733
22	1.167690327
23	1.158127499
24	1.15156308
25	1.146983279
26	1.138284302
27	1.132753988
28	1.122071766
29	1.112752775
30	1.106531666
31	1.097818745
32	1.089657919
33	1.08434369
34	1.074764513
35	1.069435858
36	1.064579642
37	1.062350081
38	1.057510343
39	1.051973011
40	1.03789991
41	1.03119624
42	1.012982151
43	1.010607751
44	1.004825107
45	0.9978842459
46	0.9908413594
47	0.9846557917
48	0.9751583582
49	0.9656531094
50	0.9615741758
51	0.9520840836
52	0.9432499322
53	0.9382141018
54	0.9305430695
55	0.9196235013
56	0.9124003283
57	0.905880437
58	0.9018493203
59	0.8919189647
60	0.8866233293
61	0.8799898628
62	0.8744649762
63	0.8679978078
64	0.8576863452
65	0.8497781532
66	0.8446340961
67	0.8388916304
68	0.832004822
69	0.8271910584
70	0.8215798424
71	0.8172369215
72	0.810369341
73	0.806785482
74	0.8010953992
75	0.7955506619
76	0.7914518056
77	0.7872083438
78	0.7835303454
79	0.7750379011
80	0.7654187166
81	0.7598567409
82	0.7533658435
83	0.7470256263
84	0.7412770327
85	0.734261848
86	0.7299129917
87	0.7241985197
88	0.7128510413
89	0.7072339614
90	0.7006073077
91	0.6898299511
92	0.6762300908
93	0.6687713513
94	0.6583044013
95	0.6535349469
96	0.6476494995
97	0.6418570006
98	0.6337966438
99	0.6278578764
100	0.6181334179
101	0.6099289287
102	0.6016325351
103	0.5942230794
104	0.5876724713
105	0.576943729
106	0.5705257073
107	0.565817931
108	0.5538447599
109	0.5464479691
110	0.5406379632
111	0.5334552049
112	0.528960074
113	0.5230343161
114	0.5188429098
115	0.5103011143
116	0.5048560177
117	0.4988145122
118	0.4941872758
119	0.4902984374
120	0.4868561341
121	0.4825011221
122	0.4750489653
123	0.4711389187
124	0.4670148327
125	0.4595916811
126	0.4533451155
127	0.4457616952
128	0.4406960979
129	0.4352479346
130	0.4295620315
131	0.4209192596
132	0.4164236291
133	0.4108598618
134	0.4034226003
135	0.3978173441
136	0.3940133739
137	0.3893094047
138	0.3847059851
139	0.3813194189
140	0.3776636147
141	0.3730734429
142	0.3705772902
143	0.3674478656
144	0.3610191853
145	0.3576817594
146	0.3542266679
147	0.3475412914
148	0.343677969
149	0.3390100139
150	0.3356202931
151	0.3315733941
152	0.3277854087
153	0.3241595111
154	0.3184651444
155	0.3153719013
156	0.3106552781
157	0.3065956445
158	0.3033923895
159	0.3003856918
160	0.2966314709
161	0.2940147775
162	0.2910128095
163	0.2862216818
164	0.28352918
165	0.28038077
166	0.2758417282
167	0.2728135679
168	0.2688988454
169	0.2658258489
170	0.2626614129
171	0.2596739044
172	0.2561446974
173	0.2518596935
174	0.2478056771
175	0.2455972708
176	0.2421054912
177	0.2399036608
178	0.2367251339
179	0.2331059954
180	0.2302258089
181	0.2280712847
182	0.2262583356
183	0.2242570653
184	0.2226058798
185	0.2210096447
186	0.2189149006
187	0.2171530521
188	0.2154324301
189	0.2140913048
190	0.2121071986
191	0.2099684224
192	0.2080014116
193	0.2064661074
194	0.2043037695
195	0.2016884284
196	0.198640882
197	0.1967499241
198	0.1944642423
199	0.1929557406
200	0.1907502705
201	0.1887630183
202	0.1870013567
203	0.1852750018
204	0.1839963096
205	0.1826381349
206	0.1806123719
207	0.1791362739
208	0.1778915053
209	0.1765453824
210	0.1753309099
211	0.1740790589
212	0.172347197
213	0.1712082609
214	0.1701985445
215	0.1682333977
216	0.1670810488
217	0.165208403
218	0.1631498183
219	0.1619166486
220	0.1608367937
221	0.1593428476
222	0.1581681395
223	0.1572618524
224	0.1564552484
225	0.1549761169
226	0.1538082803
227	0.1522705088
228	0.1511145205
229	0.1490054701
230	0.1480810177
231	0.1470014719
232	0.145712992
233	0.1446024215
234	0.1435843804
235	0.14192117
236	0.1400062077
237	0.1383149575
238	0.1370356339
239	0.1358983237
240	0.134486283
241	0.133258493
242	0.1324804877
243	0.1313131105
244	0.1302467766
245	0.1293706777
246	0.1285675655
247	0.127124563
248	0.126172571
249	0.1252420376
250	0.1242626524
251	0.1234393311
252	0.1229305181
253	0.121859897
254	0.1211543581
255	0.1204398299
256	0.119643208
257	0.1186706464
258	0.1180080364
259	0.1172086415
260	0.1165636177
261	0.1158788675
262	0.1151256945
263	0.114465349
264	0.1134197162
265	0.1124850781
266	0.1120736919
267	0.111090244
268	0.1105847014
269	0.1098158854
270	0.1093392435
271	0.1088325812
272	0.1080582455
273	0.1069666778
274	0.1062084642
275	0.1052459862
276	0.1047987274
277	0.1040773536
278	0.1034945782
279	0.1027735418
280	0.1021872595
281	0.1017551057
282	0.1010747751
283	0.1002184882
284	0.09967991739
285	0.09924016993
286	0.0988222378
287	0.09814215695
288	0.09732520655
289	0.09656172806
290	0.09615418401
291	0.09579011685
292	0.09511814503
293	0.09465963353
294	0.09378444494
295	0.09343161378
296	0.09289425668
297	0.09245023352
298	0.09204597576
299	0.09159022591
