iter	Passed	Remaining
0	208	62299
1	260	38883
2	310	30748
3	367	27164
4	421	24840
5	470	23072
6	534	22391
7	591	21595
8	647	20927
9	702	20369
10	761	20005
11	818	19654
12	872	19254
13	930	19010
14	986	18740
15	1042	18501
16	1097	18264
17	1160	18173
18	1213	17953
19	1267	17743
20	1322	17571
21	1370	17318
22	1424	17150
23	1479	17019
24	1541	16954
25	1592	16782
26	1648	16669
27	1699	16511
28	1754	16399
29	1835	16521
30	1887	16375
31	1953	16362
32	2010	16265
33	2068	16182
34	2131	16136
35	2195	16103
36	2256	16040
37	2277	15702
38	2337	15644
39	2390	15535
40	2441	15423
41	2489	15289
42	2545	15210
43	2599	15124
44	2658	15063
45	2717	15005
46	2772	14926
47	2836	14892
48	2893	14822
49	2949	14747
50	3010	14698
51	3065	14620
52	3128	14577
53	3188	14525
54	3246	14462
55	3319	14462
56	3375	14392
57	3434	14329
58	3501	14301
59	3556	14227
60	3624	14200
61	3699	14201
62	3757	14133
63	3819	14086
64	3871	13995
65	3930	13933
66	4004	13924
67	4055	13836
68	4114	13774
69	4177	13725
70	4234	13658
71	4289	13583
72	4351	13531
73	4410	13469
74	4470	13410
75	4526	13340
76	4578	13259
77	4639	13203
78	4703	13159
79	4761	13095
80	4824	13043
81	4876	12964
82	4934	12901
83	5057	13003
84	5127	12970
85	5187	12908
86	5246	12845
87	5300	12768
88	5349	12683
89	5404	12609
90	5451	12519
91	5503	12442
92	5560	12375
93	5620	12316
94	5673	12243
95	5729	12174
96	5779	12095
97	5832	12021
98	5888	11956
99	5940	11880
100	5995	11812
101	6050	11744
102	6100	11668
103	6151	11593
104	6209	11532
105	6259	11456
106	6309	11380
107	6360	11308
108	6409	11231
109	6458	11155
110	6513	11091
111	6565	11020
112	6619	10953
113	6679	10898
114	6734	10834
115	6796	10781
116	6859	10729
117	6916	10667
118	6972	10604
119	7029	10543
120	7083	10479
121	7137	10414
122	7193	10352
123	7248	10287
124	7306	10229
125	7359	10162
126	7417	10103
127	7482	10054
128	7547	10004
129	7611	9953
130	7666	9890
131	7731	9839
132	7787	9778
133	7853	9728
134	7914	9672
135	7972	9613
136	8034	9558
137	8092	9499
138	8147	9437
139	8208	9380
140	8260	9315
141	8312	9248
142	8368	9187
143	8419	9121
144	8473	9058
145	8537	9005
146	8591	8941
147	8651	8885
148	8730	8847
149	8784	8784
150	8845	8728
151	8912	8677
152	8975	8623
153	9032	8563
154	9104	8517
155	9178	8472
156	9290	8461
157	9367	8419
158	9460	8389
159	9542	8349
160	9604	8291
161	9667	8235
162	9723	8172
163	9797	8124
164	9863	8069
165	9917	8006
166	9989	7955
167	10044	7891
168	10102	7831
169	10166	7774
170	10227	7715
171	10287	7655
172	10340	7590
173	10392	7525
174	10448	7463
175	10508	7403
176	10565	7342
177	10630	7285
178	10701	7233
179	10761	7174
180	10825	7117
181	10891	7061
182	10949	7000
183	11007	6939
184	11078	6886
185	11138	6827
186	11196	6766
187	11252	6703
188	11308	6641
189	11362	6578
190	11415	6514
191	11474	6454
192	11531	6393
193	11586	6330
194	11645	6270
195	11710	6213
196	11769	6153
197	11834	6096
198	11895	6037
199	11953	5976
200	12016	5918
201	12072	5856
202	12130	5796
203	12192	5737
204	12246	5675
205	12300	5613
206	12353	5550
207	12404	5486
208	12471	5430
209	12524	5367
210	12579	5305
211	12638	5246
212	12692	5184
213	12746	5122
214	12807	5063
215	12858	5000
216	12913	4939
217	12987	4885
218	13036	4821
219	13092	4760
220	13149	4700
221	13202	4638
222	13254	4576
223	13335	4524
224	13401	4467
225	13457	4406
226	13514	4346
227	13572	4286
228	13628	4225
229	13692	4167
230	13758	4109
231	13814	4048
232	13879	3990
233	13938	3931
234	13995	3871
235	14051	3810
236	14112	3751
237	14179	3693
238	14248	3636
239	14307	3576
240	14364	3516
241	14425	3457
242	14480	3396
243	14534	3335
244	14592	3275
245	14651	3216
246	14708	3156
247	14766	3096
248	14822	3035
249	14898	2979
250	14954	2919
251	15015	2860
252	15085	2802
253	15137	2741
254	15198	2682
255	15263	2623
256	15312	2561
257	15364	2501
258	15423	2441
259	15479	2381
260	15535	2321
261	15589	2261
262	15642	2200
263	15700	2141
264	15755	2080
265	15809	2020
266	15870	1961
267	15924	1901
268	15985	1842
269	16041	1782
270	16094	1722
271	16161	1663
272	16224	1604
273	16280	1544
274	16332	1484
275	16388	1425
276	16444	1365
277	16501	1305
278	16564	1246
279	16629	1187
280	16688	1128
281	16749	1069
282	16845	1011
283	16916	953
284	16984	893
285	17036	833
286	17092	774
287	17147	714
288	17199	654
289	17248	594
290	17304	535
291	17355	475
292	17406	415
293	17461	356
294	17534	297
295	17597	237
296	17667	178
297	17720	118
298	17790	59
299	17858	0
