model,cv_acc_mean,cv_acc_std,cv_f1_mean,train_acc,val_acc
gradient_boosting,0.7515,0.1003,0.6909,1.0,1.0
stacking_ensemble,0.7333,0.1248,0.6681,1.0,1.0
adaboost,0.697,0.0383,0.6201,1.0,1.0
catboost,0.6803,0.083,0.6274,1.0,1.0
bagging,0.6803,0.083,0.6155,1.0,1.0
decision_tree,0.6091,0.0793,0.5826,0.9821,0.9167
random_forest,0.503,0.1175,0.3753,1.0,1.0
logistic_regression,0.4848,0.13,0.4348,1.0,1.0
voting_ensemble,0.4682,0.1518,0.361,1.0,1.0
extra_trees,0.4485,0.1562,0.3569,1.0,1.0
svm,0.2152,0.0745,0.1558,0.8571,1.0
knn,0.2152,0.1244,0.1239,1.0,1.0
